tweet_id,sentiment,tasks,users,technologies,organizations,job_competencies,job_profiles,nouns,verbs,adjectives,subjects,objects,predicates,topic
1597843120917344256,neutral,,human,,dalle2 gpt3,"interview people, design principles",chief executive officer,"cofounder, greg, brockman, interview, alexander, wang, ceo, scale, gpt4, human, tb, texts, greg, something, gpt3, unreal","had, is, incoming, has, consumed, says, be, talking","openais, other, dalle2","openais cofounder greg brockman, no human, we","an interview with alexander wang ceo of scale gpt4, alexander wang ceo of scale gpt4, scale gpt4, 40 tb of texts greg, texts greg, something else other than dalle2 gpt3, dalle2 gpt3, 2023 unreal",had,"chatgpt, ai, will"
1597842708554342400,neutral,,,,,,,gpt4,"be, building",username,you,"what, gpt4",username,"chatgpt, ai, will"
1597842192026185728,neutral,,,,GPT3,use personal organization software,,"i, friend, gpt3, year, time, schools, time, payback, time, waste","helped, do, got, think, wasted, make","last, final, i","i, a friend, they, i, its about time schools for their time, they, us","this, gpt3, a final, an a, time, their time, payback for all the time they make us waste, all the time they make us waste",helped,"essay, students, essays, plagiarism, gpt, school, kids, gpt3, education, using gpt, teachers, use gpt, their, teaching, if, think, grade, cheating, write, papers, will"
1597841326795784192,neutral,,,api,"AI, GPT3 Heres",plan ,secretary,"today, ai, w, gpt3, plan, playground, connect, ship, web, app, chrome, extension, username","im, working, building, writing, heres, explore, gpt3s, seems, wan, build, check","own, assistant, openai, api, cool","i, assistant w gpt3, the plan, this, you","my own, openai playground connect, api ship, a web app chrome extension, it",working,"chatgpt, ai, will"
1597839978566127616,positive,,,,,,,"gpt4, starship",are,"username, exciting",username gpt4 and starship,,are,"chatgpt, ai, will"
1597839386468528128,positive,,people,,GPT3,,building cleaner,"people, davinci003, way","ai, is, arent, try, writing","username, super, powerful, ready, gpt3","username seriously ai, people, you","gpt3, davinci003",is,"chatgpt, ai, will"
1597839248509788160,neutral,wrote a paragraph,,model,GPT3,,prompter,"screenshot, project, im, gpt3, model, textdavinci003, openai, i, prompt, paragraph, project","working, using, didnt, do, wrote, describing, doesnt, exist",new,"i, i, it, that","a project im working on using the new gpt3 model textdavinci003, the new gpt3 model, openai, much, the prompt, a paragraph describing a project that doesnt exist, a project that doesnt exist",do,"davinci, davinci003, textdavinci003, model, davinci model, gpt35turbo, api, textdavinci002, gpt3 davinci, cheaper, davinci3, chatgpt api, models, 10x cheaper, gpt3 textdavinci003, da vinci"
1597839220370198528,neutral,write an excuse letter,,model,,,,"username, gpt3, model, excuse, letter","asked, write, coinbase","openais, davinci003",,"its openais gpt3, davinci003 model, it, an excuse letter",username,"davinci, davinci003, textdavinci003, model, davinci model, gpt35turbo, api, textdavinci002, gpt3 davinci, cheaper, davinci3, chatgpt api, models, 10x cheaper, gpt3 textdavinci003, da vinci"
1597839139855998976,positive,,,api,,,secretary,"gpt3, api, writing, assistant, giveaway, win",turn,powerful,,"your gpt3 api, a powerful writing assistant giveaway win",turn,"chatgpt, ai, will"
1597839061330403328,neutral,,,,GPTJT,,,"v1, fork, gpt6b, tokens","releasing, finetuned",gptjt,releasing v1 of gptjt fork of gpt6b,"v1 of gptjt fork of gpt6b, gptjt fork of gpt6b, gpt6b, 353b",finetuned,"chatgpt, ai, will"
1597838047722508288,positive,,"everyone, soon",,"GPTbased, AI",Microsoft Access,,"gpt4, tools, everyone, access, ai, codeai, knowledge","is, coming, release, ensure, learning","username, gptbased, username, powerful","username gpt4, we, everyone","more gptbased tools username, codeai knowledge",release,"gpt4, ai, gpt3, deeplearning gpt, ai gpt, will, future, gpt ai, ai tech"
1597837367808823296,negative,,,google,,"search engines, repossession",,"im, google, retrieval, method, gptnow, gpt4, methods, performance","confused, does, follow, go, display","username, retrieval, great","i, google, retrieval methods","a retrieval method, its gptnow gpt4, a great performance",username,"search, google, gpt, google search, engine, search engine, results, searches, searching, queries, google has, from google, powered search, engines, search engines, when google, queries comes, so packed"
1597836830581424128,neutral,,,model,GPTJT,work independently,,"v1, fork, gpt6b, tokens, huggingface, value, variant, model, v1, opensource, classification, gptjt, work","releasing, finetuned, releasing, powered, ai",gptjt,"releasing v1 of gptjt fork of gpt6b, tokens","v1 of gptjt fork of gpt6b, gptjt fork of gpt6b, gpt6b, 353b, huggingface value variant powered 6b model v1, opensource classification gptjt work",finetuned,"chatgpt, ai, will"
1597836775023865856,neutral,,,smart,GPT3,smart contract,,"contract, gpt3",make,smart,you,"smart contract like gpt3, gpt3",username,"chatgpt, ai, will"
1597836034276225024,neutral,,,api,JS Follow,JSSS,,"api, web, js, youd, depth","add, using, follow, want, see, let, know, go","gpt3, more","you, me, youd like me","gpt3 api, your web app, js follow me, me, more like this, this, me, depth, 100daysofcoding",add,"chatgpt, ai, will"
1597835779841355776,neutral,,,,"GPT3, Suspect","demonstrate curiosity, statistics",,"itd, data, signs, gpt3, accounts, suspect, souls, surge, accounts, reliance, daus, versus, anything","be, see, be, are, farmsmeanspirited","username, amazing, real, curious, other, aiaugmented, detectable, obvious, fake, meaningful","d, the real data id be curious what signs of gpt3 or other aiaugmented accounts are detectable, id, what signs of gpt3 or other aiaugmented accounts","it, gpt3 or other aiaugmented accounts, its not just troll farmsmeanspirited souls behind the obvious surge in fake accounts and the reliance on daus versus anything meaningful, the obvious surge in fake accounts and the reliance on daus versus anything meaningful, fake accounts, daus, anything",username,"chatgpt, ai, will"
1597835485036285952,neutral,,,api,"AI, GPT3 Heres",plan ,secretary,"today, ai, w, gpt3, plan, playground, connect, ship, web, app, chrome, extension, username","im, working, building, writing, heres, explore, gpt3s, seems, wan, build, check","own, assistant, openai, api, cool","i, assistant w gpt3, the plan, this, you","my own, openai playground connect, api ship, a web app chrome extension, it",working,"chatgpt, ai, will"
1597835119834062848,positive,,,,Try App,electrical machines,,"gpt3, blog, title, generator, catchy, headlines, blog, posts, blog, content, words, title, suggestions, blog, posts, app","built, describe, get, try","write, awesome",your blog posts,"gpt3 blog title generator, catchy headlines, your blog content, 1015 words, awesome title suggestions for your blog posts, your blog posts, app",built,"chatgpt, ai, will"
1597834938690043904,positive,,,,GPT3,,,"openai, upgrades, poetry, lyrics","gpt3, stunning, rhyming",,openai upgrades gpt3,rhyming poetry and lyrics,stunning,"chatgpt, ai, will"
1597834855844569088,neutral,,,,,,,"username, thing, rumor","is, gpt4",real,username,,is,"gpt4, access, using gpt4, use gpt4, ask gpt4"
1597834813494669312,positive,,,model,,,,"gpt4, chain, reaction, progress, model, amount, competitors, projects, afterwards, see, diffusionimagenmakeascenecogview2, chain, reaction, comparison","start, be, release, be, dalle","technological, endall, side, amazing","gpt4, it, the amount of competitors and side projects that release afterwards, that","a chain reaction of technological progress, technological progress, competitors and side projects, dalle, 2stable diffusionimagenmakeascenecogview2 chain reaction for comparison, comparison",start,"gpt4, gpt5, gpt4 gpt4, gpt4 has, here, gpt4 will, coming, week, gpt4s, release, released"
1597834638592217088,neutral,nailed a number,person,,GPT3,mathematics,,"username, i, number, answer, exam, questions, policy, id, person, exams, towards, math, questions","tried, gpt3, nailed, essay, adapt, have, go, takehome, skew","old, short, novel","i, it","a number of my old short answer exam essay questions on policy to adapt id, my old short answer exam essay questions on policy to adapt id, policy to adapt id, i, d, person exams, novel math questions",username,"chatgpt, ai, will"
1597834060373831680,positive,,,,GPT3,economics,"assistant lecturer, building cleaner","i, assistant, professor, economics, health, economics, glad, course, advent, gpt3","left, teaching, have, adapt","username, former, im, super, old","i, i","academia, former assistant professor of economics teaching health economics, economics, health economics, my old course, the advent of gpt3, gpt3",username,"chatgpt, ai, will"
1597833869788852224,positive,generated an entire story,,,AIgenerated cc,,,"gpt3, insane, story, lines, everything, cc","playing, generated, gave, is, aigenerated","w, entire, few, top, green, username","it, i","w gpt3, its insane, an entire story for me, me, just a few lines i gave it at the top everything in green, it, the top everything in green, green",generated,"chatgpt, ai, will"
1597833694068502528,positive,,"anyone, people","self, deep learning, model",GPT3,"Source (digital game creation systems), deep learning",presenter,"deep, learning, models, dalle, etc, source, anyone, host, i, revenue, model, building, services, people, resources","take, ie, be, self, see, generating, allowing, be, run","hot, huge, gpt3, novelai, free, open, incentive, able, own","hot, hot take huge deep learning models ie gpt3 novelai dalle etc, i, people with the resources","huge deep learning models, anyone, more incentive in generating revenue off of the model by building services and allowing people with the resources to be able to run it on their own, revenue, the model, services, the resources, it, their own","be, see","chatgpt, ai, will"
1597833398059503616,neutral,,"human, people",television,GPT3,make decisions,,"gpt3, post, television, place, portrayal, idea, people, difficulty, making, decisions, run, wh","discusses, show, dilemma, have, benefit, knowing","good, human, long","this post, the television, people, that","the good place and its portrayal of the human dilemma, the human dilemma, the idea that people have difficulty making decisions that will benefit them in the long run despite knowing wh, difficulty making decisions that will benefit them in the long run despite knowing wh, decisions that will benefit them in the long run despite knowing wh, them, the long run, wh",discusses,"consciousness, humans, theory, mind, iq, brain, intelligent, gpt, gpt3, argues, intelligence, post discusses, idea, author argues"
1597833146409619456,positive,,,skill,GPT3,make abstracts,auctioneer,"gpt3, post, abstraction, skill, world, ability, concepts, factor, knowledge, unde","argues, is, understanding, states, recognize, understand, is, developing","important, abstract, key","this post, abstraction, it, the ability to recognize and understand abstract concepts","the world, abstract concepts, knowledge",argues,"chatgpt, ai, will"
1597832894789160960,neutral,,academic,reduce,"GPT3, LessWrong",fraud detection,writer,"gpt3, post, discusses, potential, fraud, detection, academia, technology, author, system, prevalence, fraud, incr","automated, using, existing, argues, help, reduce","lesswrong, academic","this post on lesswrong, the author, such a system","lesswrong, the potential for automated fraud detection in academia using existing technology, automated fraud detection in academia, academia, existing technology, the prevalence of academic fraud, academic fraud",discusses,"chatgpt, ai, will"
1597832803114270720,positive,,,,GPT3,,writer,"localhost, writer, anything, everything, youre, link, tweet, indiehackers","done, play, explains, know, think, username, hypetrain","w, gpt3, buildinpublic","you, that, you, to username buildinpublic indiehackers","localhost, my gpt3 writer that explains anything and everything like you, anything and everything like you, you, 5 link in tweet, tweet, lemme, what",know,"chatgpt, ai, will"
1597832676119314432,neutral,,"technician, person",,,use personal organization software,metal additive manufacturing operator,"i, flu, shot, today, i, sleeve, arm, technician, pinch, im, person, earth, i, times","gpt, have, said, i, didnt, feel, i, said, cry, have, heard, said","half, nice, okay, little, last, many","i, my flu, i, the very nice technician, i, i, i, who, i, she","a half sleeve on each arm, each arm, just a little pinch, which, earth, that",gpt,"chatgpt, ai, will"
1597832646611959808,neutral,,,diffusion,"GPT3, AI",,prompter,"username, gpt3, write, rap, song, art, diffusion, models, deal, haters","generated, generated, is, say","prompt, ai, real","username generated with gpt3 with the prompt, art generated with diffusion models, the haters","gpt3, the prompt, a rap song about how ai art generated with diffusion models is the real deal despite what the haters say, diffusion models, what",write,"chatgpt, ai, will"
1597832555851440128,neutral,,,github,"GPT3, GitHub CoPilot Feels",,"co-pilot, product assembly inspector","gpt3, products, github, copilot, feels, inflection, point","been, hooked",,,"two gpt3 products and github copilot, an inflection point",hooked,"copilot, github, github copilot, vscode, repo, coding, vs code, copilot chatgpt, visual studio, extension, codegpt, copilot or, vscode extension, chatgpt github, use, use copilot, pull requests"
1597832055806914560,neutral,,,,"gpt3, Responde","use personal organization software, dies, work independently",,"username, idea, models, gpt3, pattern, input, things, time, web, demo, example, responde, y, corrige, esta, pregunta, quesiton","needs, polishing, need, find, works, give, remember",good,"it, you, that, you, it","its a good idea, models like gpt3, gpt3, a pattern that works for any input you give since it cannot remember things over time specially in that web demo for example responde y corrige esta pregunta quesiton, any input you give, things, time, that web demo for example, example, y corrige esta pregunta quesiton","username, needs","chatgpt, ai, will"
1597831162365636608,neutral,,"her, younger, artist","self, chatbot",,communication,drawing artist,"artist, childhood, diary, chatbot, conversation, self","feeds, has, moving","ai, younger",artist,"her childhood diary, an ai chatbot, a moving conversation with her younger self, her younger self",feeds,"chatgpt, ai, will"
1597830020180824064,positive,,,model,GPT3,,,"davinci003, openai, gpt3, model, results","use, been, getting","new, logseq, ive, good",i,"the new davinci003 openai gpt3 model from logseq, logseq, good results",use,"davinci, davinci003, textdavinci003, model, davinci model, gpt35turbo, api, textdavinci002, gpt3 davinci, cheaper, davinci3, chatgpt api, models, 10x cheaper, gpt3 textdavinci003, da vinci"
1597829731436490752,neutral,,,,,journalism,,"press, coverage, inauguration, jammalamadugu, username",,"skillhub, gpt", press coverage about skillhub inauguration at gpt jammalamadugu,"skillhub inauguration at gpt jammalamadugu, gpt jammalamadugu",username,"chatgpt, ai, will"
1597827717830877184,neutral,,manager,"ethereum, bitcoin","Data Services, EURUSD Euro US Dollar, ETHUSD Ethereum",statistics,,"data, services, manager, platform, eurusd, dollar, btcusd, dollar, ethusd, ethereum, dollar","euro, bitcoin",,btcusd,us,"dollar, dollar","etc spotify, gram etc, account onhand, onhand nfqbviucanva, coursehero canva, scribd zoom, remini symbolab, nfqbviucanva gram, amazon grammarly, symbolab chatgpt, picsart remini, quizlet coursehero, netflix vivamax, go amazon, canva picsart, youtube hbo, chatgpt copy, quillbot scribd, spotify disney, grammarly quillbot, vivamax youtube"
1597827081202987008,neutral,,,,GPT,"electricity principles, design principles",,"gpt, form",solve,"username, current, most",username gpt in its current form,"its current form, most of it, it",solve,"chatgpt, ai, will"
1597826204958363648,neutral,,,api,"AI, GPT3 Heres",plan ,secretary,"today, ai, w, gpt3, plan, playground, connect, ship, web, app, chrome, extension, username","im, working, building, writing, heres, explore, gpt3s, seems, wan, build, check","own, assistant, openai, api, cool","i, assistant w gpt3, the plan, this, you","my own, openai playground connect, api ship, a web app chrome extension, it",working,"chatgpt, ai, will"
1597825765126868992,negative,,teachers,,GPT3,use personal organization software,,"gut, oversight, teachers, priority, fact, gpt3, time","says, is, going, need, becomes, be, bias, do, solve, is, frozen, ideal","username, serious, useful, top","username my gut says this is going to need some serious oversight before it becomes useful for teachers top priority, my gut, this, it, we, gpt3","some serious oversight, teachers top priority, the fact that gpt3 is effectively frozen in time not ideal, time",be,"essay, students, essays, plagiarism, gpt, school, kids, gpt3, education, using gpt, teachers, use gpt, their, teaching, if, think, grade, cheating, write, papers, will"
1597824843076243456,positive,,,,"GPT3, AI",patents,,"gpt3, poetry, world, needs, username","rhyming, collab","ai, username","the gpt3 rhyming poetry, the ai world",,collab,"chatgpt, ai, will"
1597824828060434432,positive,,,,"RobertHaisfield, GPT3",work independently,,"step, curriculum, na, fun, mind, bit, roberthaisfield, knowledge, structure","were, gon, have, blow, shows, do, combine, create, work","second, gpt3, tana, new","2 for your second step in your curriculum, roberthaisfield, you, you, you","your second step in your curriculum, your curriculum, some fun, your mind, what, gpt3 and tana, new knowledge and structure it, it, it","gon, work","chatgpt, ai, will"
1597824563999805440,neutral,,researcher,api,OAI API,,computer scientist,"openai, series, models, youre, researcher, training, details, oai, api, models, textdavinci002, codedavinci002",check,"gpt35, interested, such, textdavinci003"," openai gpt35 series of models if youre a researcher interested in more training details of oai api models such as textdavinci003 textdavinci002 codedavinci002, you","models, more training details of oai api models such as textdavinci003 textdavinci002 codedavinci002, oai api models such as textdavinci003 textdavinci002 codedavinci002, textdavinci003 textdavinci002 codedavinci002, it",check,"chatgpt, ai, will"
1597824366401970176,neutral,,,,,,writer,"idea, frontend, writer, cc, character","working, thoughts, talk",gpt3,"cc, me, you","the idea frontend for my gpt3 writer, my gpt3 writer, any character you like",username,"chatgpt, ai, will"
1597824353462550528,neutral,,her,,,,,"sciencefiction, drama, film",is,"2013, american, romantic",her,,is,"she, her, dating, shes, relationship, tinder, girl, girlfriend, dating profile, breakup, online dating, pickup, chatgpt, gf, she has, dating apps, me"
1597824296034107392,neutral,,,,GPTJT,,,"v1, fork, gpt6b, tokens","releasing, finetuned",gptjt,releasing v1 of gptjt fork of gpt6b,"v1 of gptjt fork of gpt6b, gptjt fork of gpt6b, gpt6b, 353b",finetuned,"chatgpt, ai, will"
1597823925316210688,neutral,,,,,demonstrate trustworthiness,,"i, head, textdavinci002, i, openai, textdavinci003, i, version, i, bit, loss","was, starting, get, see, have, released, was, blown, theres, feel, be","gpt3s, previous, better, honest","i, i, openai, i, i","my head, the previous version, a loss","starting, see, blown","davinci, davinci003, textdavinci003, model, davinci model, gpt35turbo, api, textdavinci002, gpt3 davinci, cheaper, davinci3, chatgpt api, models, 10x cheaper, gpt3 textdavinci003, da vinci"
1597823298724712448,neutral,,,,GPT,"statistics, work independently","prompter, armed forces officer","i, results, box, gpt, index, data, i, tuning, trick","believe, shown, are, works, do, wonder, tailored, do","username, general, ive, same, careful, prompt","i, the results ive shown, i, it, i, more careful prompt tuning tailored for 003","the box on gpt index, gpt index, the same data i do wonder if more careful prompt tuning tailored for 003 would do the trick, 003, the trick",username,"chatgpt, ai, will"
1597823013365329920,neutral,,,,GPT3,advise others,tourist guide,"code, application, summarization, app, gpt3, guide, thread","develop, ai, coding, using","first, username, nonsense",,"your first no code, gpt3, no nonsense guide in a thread, a thread",develop,"chatgpt, ai, will"
1597822453056933888,neutral,,,,gpt4,interview people,,"chance, interview, creators, gpt4",,"username, lex","username lex, you","one of the creators of gpt4, the creators of gpt4, gpt4",chance,"gpt4, access, using gpt4, use gpt4, ask gpt4"
1597821959961968640,neutral,,,,,,,"names, respect, name","gpt35, put",,gpt35,"some respect, my name",names,"chatgpt, ai, will"
1597821739420950528,negative,take many attempts,,,,,,"wait, wait, wait, text, green, gpt3, below, replies, dont, attempts","do, mean, highlighted, was, written, agree, thats, know, trust, did, take","username, unbelievable, i, many","you, the text highlighted in green, that, i, it","green, gpt3, the below replies thats unbelievable, what, many attempts","wait, know","chatgpt, ai, will"
1597820867362586624,neutral,,,api,GPT3,electrical machines,,"i, tweet, generator, api, gpt3, cc, gtfol","built, using","thread, username, username",i,"this tweet thread generator, the username api and gpt3 cc username gtfol",built,"twitter, tweets, gpt, gpt4, gpt3, feed, tweeting, gpt twitter, threads"
1597818672751394816,positive,,,,,design principles,,"project, space, username",be,,best project to ever be in the space,the space,username,"chatgpt, ai, will"
1597818312741646336,neutral,,,model,"Cerebras Systems, Cirrascale Cloud Services, Cerebras AI Model Studio",use personal organization software,,"cerebras, systems, cloud, services, cerebras, model, studio, gptclass, models, time, accuracy, price, cloud, providers","introduce, ai, train, cerebras","cirrascale, faster, traditional",cerebras systems and cirrascale cloud services,"cerebras, gptclass models, 8x, half the price of traditional cloud providers cerebras, traditional cloud providers cerebras",introduce,"chatgpt, ai, will"
1597817938803044352,positive,,,,QQL,,,"yoo, i, qql, username",love,,i,qql,love,"chatgpt, ai, will"
1597817323317956608,negative,,,,,,,misinformation,ik,username,,its misinformation,username,"chatgpt, ai, will"
1597817187624189952,positive,,,,GPT3,,prompter,"gpt3, prompt, genre",,"new, favorite",,,genre,"chatgpt, ai, will"
1597814947110879232,positive,,,,gpt,,,"wow, bit, use, case, gpt","read, expected, be, creeped, am, touching","username, little, positive","username wow read that expected to be a bit creeped out, that","a positive use case for gpt, gpt",am,"chatgpt, ai, will"
1597814916542439424,neutral,,,,,fingerspelling,,"messages, gpt3, key, app","gotten, asking, get, started, mention, need, use, get, signing","ive, openai","i, you, you","some messages asking how to get started forgot to mention you need an openai gpt3 key to use the app you can get one by signing up here, an openai gpt3 key to use the app you can get one by signing up here, the app, one",gotten,"openai, gpt4, openai gpt, api, openai has, gpt3, openai gpt4, trademark, gpt4 openai, model, gpt5, openai api, from openai, if openai, access, models, openai gpt3"
1597813281045254144,neutral,,,,"Tried, gpt",,,gpt,"tried, tested, generates, signaled, become","username, great, good","username, it, that, gpt","me, that",tried,"chatgpt, ai, will"
1597813047934201856,positive,,,,gpt,,,"gpt, customisation, gpt, level, queries","is, achieve, generate","username, bad, additional, easymedium","username as of now gpt, additional customisation gpt","gpt, easymedium level queries",is,"chatgpt, ai, will"
1597812938739417088,neutral,,"her, younger, artist","self, chatbot",,communication,drawing artist,"world, notes, childhood, diary, chatbot, conversation, self","artist, feeds, has, moving","new, ai, younger",new world notes artist,"her childhood diary, an ai chatbot, a moving conversation with her younger self, her younger self",feeds,"chatgpt, ai, will"
1597812770119876608,neutral,,,,,,,"message, i, gpt3, matter, teleportation","had, using","little, openais, black, humantohuman",i,"openais gpt3, black matter, humantohuman teleportation",message,"chatgpt, ai, will"
1597812327285678080,negative,,,,GPT,work independently,medium,"username, work, bandwidth, magnitude, queries","i, hope, is, growing, medium, work","doesnt, gpt, atleast, easy, level","i, it, gpt bandwidth, easy to medium level queries",magnitude,username,"chatgpt, ai, will"
1597812248713781248,neutral,,family,model,AI,terminology,,"ai, model, gpt3, family, content, poetry, songs, level, models, language, model, tasks, fewe","produce, including, rhyming, seen, does, requires","new, openais, longerform, textdavinci003, same","a new ai model in openais gpt3 family, the textdavinci003 language model","openais gpt3 family, longerform content including poetry and rhyming songs at a level not previously seen in the models, poetry and rhyming songs at a level not previously seen in the models, songs, a level not previously seen in the models, the models, the same tasks, fewe",produce,"chatgpt, ai, will"
1597812224286142464,positive,know what type,,,"GPT3, AI",use personal organization software,,"lets, project, gpt3, technology, text, way, ai, type, message, hope, time, thanks","get, rollin, powered, helps, generate, like, letting, know, want, generate, be","amazing, gtfol, username","lets, which, you, you, the, ai, you, this","rollin, this amazing project powered with gpt3 technology which helps you automatically generate text in whatever way you would like by just letting the ai know what type of message you want to generate hope this time this will be gtfol thanks username, gpt3 technology which helps you automatically generate text in whatever way you would like by just letting the ai know what type of message you want to generate hope this time this will be gtfol thanks username, text, whatever way, what type of message, message, hope",get,"chatgpt, ai, will"
1597811641579716608,neutral,,,,,,,"mean, developers",gpt4,,gpt4,"what, developers",mean,"gpt4, gpt5, gpt4 gpt4, gpt4 has, here, gpt4 will, coming, week, gpt4s, release, released"
1597810728488304640,neutral,,anyone,internet,GPT3,,,"gpt3, amount, text, internet, i, anyone, i, heres, convo, group, beings, cc, username","is, is, trained, means, talk, want, having","pretty, crazy, massive, fictional, benevolent, interdimensional","this, pretty crazy gpt3, which, i, i, me","a massive amount of text from the internet which means i can talk to literally anyone i want, text, the internet which means i can talk to literally anyone i want, literally anyone i want, a convo, a fictional group of benevolent interdimensional beings, benevolent interdimensional beings",is,"chatgpt, ai, will"
1597810115536719872,neutral,,,,,,,"gpt6, rumor, seo","thread, get, drops","i, best","i, it",best seo,get,"gpt4, gpt5, gpt4 gpt4, gpt4 has, here, gpt4 will, coming, week, gpt4s, release, released"
1597810114290798592,neutral,,,,"NLP, HuggingFace, GPT3","Source (digital game creation systems), natural language processing",,"source, nlp, models, bloom, huggingface, level, gpt3","think, are, do","username, i, open","i, that","huggingface, one, the level of gpt3, gpt3",username,"language, models, language models, gpt3, large language, text, natural, natural language, translation, language processing, nlp, tasks, models like, generate, gpt4, such as, like gpt3, gpt models, languages, language translation"
1597809722245099520,neutral,,,api,"AI, GPT3 Heres",plan ,secretary,"today, ai, w, gpt3, plan, playground, connect, ship, web, app, extension, username","im, working, building, writing, heres, explore, gpt3s, check","own, assistant, openai, api, chrome","i, assistant w gpt3, the plan, a web app chrome extension","my own, openai playground connect, api ship",working,"chatgpt, ai, will"
1597809240688578560,neutral,describe a date conversation,guy,,GPT3,"report facts, communication",,"gpt3, date, conversation, guy, someone, tinder, style, police, report, onion, article, end","describe, met, reads",,"gpt3, he, this","a date conversation between a guy and someone he met on tinder in the style of a police report, a guy and someone he met on tinder in the style of a police report, tinder, the style of a police report, a police report, an onion article",describe,"chatgpt, ai, will"
1597808977651257344,positive,,,model,,,,"fun, davinci003, gpt3, model",,new,,the new davinci003 gpt3 model,fun,"davinci, davinci003, textdavinci003, model, davinci model, gpt35turbo, api, textdavinci002, gpt3 davinci, cheaper, davinci3, chatgpt api, models, 10x cheaper, gpt3 textdavinci003, da vinci"
1597808777692352512,positive,,god,,,,,"thank, game, i, i, bot, roflcopter","playing, look, seeing, won, am, am, i, am, am","username, more, good, luck, i, i, god, atheist, gpt3","we, i, i, i, i, i","you, more of you, you, good luck game","won, am, am, am","chatgpt, ai, will"
1597808436493680640,positive,,,model,GPT3,,,"gpt3, model, longform, content, i, improvement, things, content","playing, expected, generating, dont, im, using, is, continue, playing","new, shortform","i, i, shortform content","the new gpt3 model, longform content, an improvement for the things im using it for which, the things im using it for which, it, which",notice,"chatgpt, ai, will"
1597807719666184192,positive,,,,,,,"workin, website, rn, gpt3, journey, site","using, follow, see, creating",cool,my journey,"this really cool website, gpt3 follow, this site",workin,"chatgpt, ai, will"
